Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,sal,combined_features
Mechanical Maintenance – Btech / Diploma, 0 - 2 Years,mechanical operation|preventive maintenance|mechanical|engineeringbreak down maintenance|mechanical maintenance,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers", Hyderabad,Other,FMCG / Foods / Beverage,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers",78.4740613,17.360589,6087,"mechanical operation|preventive maintenance|mechanical|engineeringbreak down maintenance|mechanical maintenance Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers FMCG / Foods / Beverage Other"
 PHP Developer,2 - 6 yrs, javascript| html| ajax| jquery| php mysql| smarty| api| analytical| third party| software development life cycle,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.3271074,28.5707841,5509," javascript| html| ajax| jquery| php mysql| smarty| api| analytical| third party| software development life cycle Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
Sr.consultant-power Distribution, 4 - 7 Years,Renewable energy|Power distribution|Power sector|Banking|Electricals,Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations",Accounting / Finance,Associate/Senior Associate -(NonTechnical),77.00270015,28.42826235,4560,"Renewable energy|Power distribution|Power sector|Banking|Electricals Associate/Senior Associate -(NonTechnical) Accounting / Finance ITES , BPO , KPO , LPO , Customer Service , Operations"
" Chinese, Spanish Language Expert (proofcheck Medical Content),",2 - 7 yrs, spanish language expert| chinese| spanish| medical,Journalist/Writer,"Delhi NCR,Bengaluru","Journalism , Editing , Content","Medical, Healthcare, Hospitals",Proof Reader,121.0977529,14.6719732,4235," spanish language expert| chinese| spanish| medical Proof Reader Medical, Healthcare, Hospitals Journalism , Editing , Content"
 Hiring for Tech Sales_Inbound UK/ US Voice Process,1 - 5 yrs, Sales Associate| support| Voice process| Issue| Senior| Technical| Inbound calls| Bonus| US shift| Software,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,3101," Sales Associate| support| Voice process| Issue| Senior| Technical| Inbound calls| Bonus| US shift| Software Associate/Senior Associate -(NonTechnical) IT-Software, Software Services ITES , BPO , KPO , LPO , Customer Service , Operations"
 SUPPORT Engineers (FEMALE CANDIDATES),1 - 5 yrs, MCSE| Database| Support Engineer,Back Office/Web/Transaction Processing,Hyderabad,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),78.4740613,17.360589,3096," MCSE| Database| Support Engineer Associate/Senior Associate -(Technical) IT-Software, Software Services ITES , BPO , KPO , LPO , Customer Service , Operations"
 MS SQL Developer : 0 - 2 Years (only MALE Candidates),1 - 3 yrs, SSRS| SQL Server| Stored Procedures| SQL Development| MS SQL,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,1934," SSRS| SQL Server| Stored Procedures| SQL Development| MS SQL Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Machine Learning Engineer || Gurgaon/chandigarh Location,3 - 8 yrs, GIT| Linux| Machine Learning| Python,Programming & Design,"Delhi NCR,Chandigarh","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,,,2319," GIT| Linux| Machine Learning| Python Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Nurses,2 - 5 yrs, GNM| Business Executive,Medical Professional,Pune,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Internet, Ecommerce",Nurse,73.8544541,18.521428,2098," GNM| Business Executive Nurse Internet, Ecommerce Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology"
 Marketing Executive,2 - 7 yrs, institutions| relationships| marketing executive| customer| customers| implementation| company| site| product,Marketing,"Noida,Noida/Greater Noida","Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",Direct Marketing Executive,77.3327483,28.54322285,4807," institutions| relationships| marketing executive| customer| customers| implementation| company| site| product Direct Marketing Executive IT-Software, Software Services Marketing , Advertising , MR , PR , Media Planning"
HR Recruiter (volume Hiring), 2 - 5 Years,Recruitment|Volume Hiring|HR|BPO Hiring|Sourcing|Interviewing|Onboarding|Staffing|Orientation|Human Resource Management,HR/ Recruitment / IR, Gurgaon,"HR , Recruitment , Administration , IR",BPO / Call Centre / ITES,HR Executive,77.00270015,28.42826235,6631,"Recruitment|Volume Hiring|HR|BPO Hiring|Sourcing|Interviewing|Onboarding|Staffing|Orientation|Human Resource Management HR Executive BPO / Call Centre / ITES HR , Recruitment , Administration , IR"
 Java Full Stack Developer,4 - 7 yrs, Java| CSS| Rest| Spring Mvc| Javascript| HTML| JPA| Spring Boot| JQuery| Web Services,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,73.8544541,18.521428,6708," Java| CSS| Rest| Spring Mvc| Javascript| HTML| JPA| Spring Boot| JQuery| Web Services Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 GM Finance- Export Import Company,10 - 17 yrs, financial analysis| financial planning| taxation| VP Finance,Senior Management,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Export, Import",Head/VP/GM-Finance/Audit,72.8773928,19.0759899,2007," financial analysis| financial planning| taxation| VP Finance Head/VP/GM-Finance/Audit Export, Import Accounts , Finance , Tax , Company Secretary , Audit"
 Content Writer,1 - 3 yrs, Publishing| SEO| Content management| Social media| Wordpress| Management systems| Research| Brand awareness| Web technologies| Journalism,Content Development,Bengaluru,"Journalism , Editing , Content","Advertising, PR, MR, Event Management",Content Developer,77.590082,12.9767936,4162," Publishing| SEO| Content management| Social media| Wordpress| Management systems| Research| Brand awareness| Web technologies| Journalism Content Developer Advertising, PR, MR, Event Management Journalism , Editing , Content"
 Job Opening for Sm/avp_credit Audit_mumbai,7 - 10 yrs, Auditing| Audit Planning| Risk Assessment| Banking| Credit Risk| Credit Policy,Senior Management,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Banking, Financial Services, Broking",Head/VP/GM-CFO/Financial Controller,72.8773928,19.0759899,3882," Auditing| Audit Planning| Risk Assessment| Banking| Credit Risk| Credit Policy Head/VP/GM-CFO/Financial Controller Banking, Financial Services, Broking Accounts , Finance , Tax , Company Secretary , Audit"
 iOS Game Developer,3 - 8 yrs, c++| development| gaming| C| software| HTML| ios| opengl| iphone| design| MySQL| JavaScript,Programming & Design,"Faridabad,Gurgaon,Mumbai","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.2005601,28.4070322,1860," c++| development| gaming| C| software| HTML| ios| opengl| iphone| design| MySQL| JavaScript Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Hiring: Executive-business Developer(seller Acquisition) On Contract,1 - 4 yrs, business development| e - commerce| sales executive| sales associate| sales officer| sales| field sales| mba fresher| fresher| new product development| channel sales,Retail Sales,Ahmedabad,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer,72.5797068,23.0216238,3241," business development| e - commerce| sales executive| sales associate| sales officer| sales| field sales| mba fresher| fresher| new product development| channel sales Sales Executive/Officer Internet, Ecommerce Sales , Retail , Business Development"
 Java/j2ee Application Developer,3 - 6 yrs, rest| java| sql| oop| angularjs| ui development| oracle,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","Banking, Financial Services, Broking",Software Developer,72.8773928,19.0759899,3436," rest| java| sql| oop| angularjs| ui development| oracle Software Developer Banking, Financial Services, Broking IT Software - Application Programming , Maintenance"
" Accepting Application for Intership for Java, PHP, Web Design, Android",0 - 1 yrs, Javascript| PHP| HTML| Visualization| jQuery| web| Programming| Commerce| Web designing| Application| Android,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,73.8544541,18.521428,2821," Javascript| PHP| HTML| Visualization| jQuery| web| Programming| Commerce| Web designing| Application| Android Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Automation-Expert-Senior-Automation-Expert,3 - 5 yrs, Process automation| Commodity Markets| Artificial Intelligence| Market intelligence| Machine learning| Corporate| Relationship| Operations| Analytics| Robotics,Programming & Design,"Gurgaon,haryana",IT Software - QA & Testing,"IT-Software, Software Services",Team Lead/Technical Lead,77.00270015,28.42826235,2090," Process automation| Commodity Markets| Artificial Intelligence| Market intelligence| Machine learning| Corporate| Relationship| Operations| Analytics| Robotics Team Lead/Technical Lead IT-Software, Software Services IT Software - QA & Testing"
 Product Manager- Marketing(consumer Durables),5 - 10 yrs, IT Sales| Marketing Campaigns| Social Media| Btl| Marketing Management| Digital Marketing| Dealer Sales| Channel Partners| Communication Skills| Process Flow,Institutional Sales,Mumbai,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager,72.8773928,19.0759899,2385," IT Sales| Marketing Campaigns| Social Media| Btl| Marketing Management| Digital Marketing| Dealer Sales| Channel Partners| Communication Skills| Process Flow Sales/Business Development Manager Banking, Financial Services, Broking Sales , Retail , Business Development"
 Embedded Android Engineer,10 - 12 yrs, Android| Troubleshooting| Middleware| Firmware| SOC| Linux kernel| Bluetooth| Computer science| Test scripts| Test strategy,Programming & Design,Noida,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","Semiconductors, Electronics",Software Developer,77.3271074,28.5707841,1880," Android| Troubleshooting| Middleware| Firmware| SOC| Linux kernel| Bluetooth| Computer science| Test scripts| Test strategy Software Developer Semiconductors, Electronics IT Software - Embedded , EDA , VLSI , ASIC , Chip Design"
 Inbound International BPO Voice Process-US Shift,1 - 4 yrs, Outbound| Antivirus| Technical support| Voice process| Technical Support Executive| US shift| Inbound voice process| Customer Service Executive| Comp| International BPO,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,6309," Outbound| Antivirus| Technical support| Voice process| Technical Support Executive| US shift| Inbound voice process| Customer Service Executive| Comp| International BPO Associate/Senior Associate -(NonTechnical) IT-Software, Software Services ITES , BPO , KPO , LPO , Customer Service , Operations"
 Jr. Support Executives,1 - 6 yrs,vide,Other,Mumbai,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Fresher,72.8773928,19.0759899,6466,"vide Fresher IT-Hardware & Networking IT Hardware , Technical Support , Telecom Engineering"
 Sales Executive,0 - 1 yrs, Sales Executive| Cold calling| market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy,Retail Sales,"Coimbatore,Raipur,Visakhapatnam,Pune","Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Executive/Officer,,,2329," Sales Executive| Cold calling| market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy Sales Executive/Officer Industrial Products, Heavy Machinery Sales , Retail , Business Development"
 Recruitment Officer ,0 - 1 yrs, Administration| HR| Recruitment| Recruitment Executive| IR,HR/ Recruitment / IR,Bengaluru,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,77.590082,12.9767936,1824," Administration| HR| Recruitment| Recruitment Executive| IR Recruitment Executive Recruitment, Staffing HR , Recruitment , Administration , IR"
 Senior Principal Software Engineer,8 - 10 yrs, Web development| Analytics| Healthcare| Software design| Monitoring| JIRA| Computer science| Backend| Inside sales| Cloud,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Technical Architect,73.8544541,18.521428,3944," Web development| Analytics| Healthcare| Software design| Monitoring| JIRA| Computer science| Backend| Inside sales| Cloud Technical Architect BPO, Call Centre, ITeS IT Software - Application Programming , Maintenance"
 Senior Branch Sales & Development Head - Agency - General Insurance,5 - 9 yrs, Team Management| Advisory Services| General Insurance| Sales Initiatives| Financial Products| Distributor Sales| Branch Sales| Sales Development| Motor Insurance| Marketing,General Insurance,"Delhi NCR,Mumbai,Pune,Ahmedabad,Gurgaon,Nagpur,Gujarat,Maharashtra,Nashik","Financial Services , Banking , Investments , Insurance",Insurance,Branch Manager,,,2887," Team Management| Advisory Services| General Insurance| Sales Initiatives| Financial Products| Distributor Sales| Branch Sales| Sales Development| Motor Insurance| Marketing Branch Manager Insurance Financial Services , Banking , Investments , Insurance"
 Pharma/nutrition Sales Profile Opening with Hexagon Nutrition,0 - 5 yrs, clinical pharmacy| mr| sales officer| territory executive| business development| sales executive,Retail Sales,"Chennai,Bengaluru","Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Sales Executive/Officer,77.5660159,13.0140789,4992," clinical pharmacy| mr| sales officer| territory executive| business development| sales executive Sales Executive/Officer Pharma, Biotech, Clinical Research Sales , Retail , Business Development"
 Urgent job Position For SAP MDG Functional Analyst- All Over India,6 - 11 yrs,vide,System Design/Implementation/ERP/CRM,"Delhi NCR,Mumbai,Bengaluru","IT Software - Application Programming , Maintenance","IT-Software, Software Services",ERP Consultant,121.0977529,14.6719732,1558,"vide ERP Consultant IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Manager / Asst. Manager - Vendor Development ( Purchase ) - Gurgaon,7 - 12 yrs, sap| procurement| scm| material| sheetmetal| sheet metal| purchase| VD| vendor development| sourcing| BOP,Purchase/Material Management,Gurgaon,"Supply Chain , Logistics , Purchase , Materials","Industrial Products, Heavy Machinery",Purchase/Vendor Development Manager,77.00270015,28.42826235,2929," sap| procurement| scm| material| sheetmetal| sheet metal| purchase| VD| vendor development| sourcing| BOP Purchase/Vendor Development Manager Industrial Products, Heavy Machinery Supply Chain , Logistics , Purchase , Materials"
 Java with AngularJS and Spring,3 - 6 yrs, Angularjs| CSS| Core Java| DOM| Computer Science| Javascript| HTML| Spring| Ajax,Programming & Design,Greater Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.5137649,28.4670734,5708," Angularjs| CSS| Core Java| DOM| Computer Science| Javascript| HTML| Spring| Ajax Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Manager- Admission,2 - 7 yrs, data analysis| Admissions| placements| Help Desk| access controls| Asset Management,Other,Ghaziabad,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Other,77.45268496,28.7218316,3367," data analysis| Admissions| placements| Help Desk| access controls| Asset Management Other Education, Teaching, Training Teaching , Education , Training , Counselling"
 Full Time Academic Writer for Ca/cma- Accounting & Taxation,0 - 3 yrs, academic research| accounting| taxation| ifrs| us gaap| international taxation| cost accounting| company secretary| auditing| company law| corporate law| icwa| cma,,"Delhi NCR,Delhi,Greater Noida,Gurgaon,Noida",Other,"Education, Teaching, Training",Other,,,3768," academic research| accounting| taxation| ifrs| us gaap| international taxation| cost accounting| company secretary| auditing| company law| corporate law| icwa| cma Other Education, Teaching, Training Other"
 Sales Head for It Consulting Company in Gurgaon,4 - 8 yrs, marketing| bdm| sales| business development| it sales| ncr| hardware sales,Retail Sales,Gurgaon,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager,77.00270015,28.42826235,2522," marketing| bdm| sales| business development| it sales| ncr| hardware sales Sales/Business Development Manager Recruitment, Staffing Sales , Retail , Business Development"
 Adeeba Group is Currently hiring for US Inbound Tech Process.,2 - 7 yrs, Outbound| Night shift| Service| English| process| Technical| Technical support| Inbound calls| Voice process| Group,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),88.35769124,22.5414185,2739," Outbound| Night shift| Service| English| process| Technical| Technical support| Inbound calls| Voice process| Group Associate/Senior Associate -(Technical) IT-Software, Software Services ITES , BPO , KPO , LPO , Customer Service , Operations"
 Mechanical Engineer Require For Shut Down,5 - 10 yrs, RT| PT| MPI| NDT Inspection| NDT Level| Diploma| Quality Inspection| Level Ii| Inspection Engineering| Mechanical Engineering| UT,Production/Manufacturing/Maintenance,Kolkata,"Production , Manufacturing , Maintenance","Oil and Gas, Energy, Power, Infrastructure",Service/Maintenance Engineer,88.35769124,22.5414185,2459," RT| PT| MPI| NDT Inspection| NDT Level| Diploma| Quality Inspection| Level Ii| Inspection Engineering| Mechanical Engineering| UT Service/Maintenance Engineer Oil and Gas, Energy, Power, Infrastructure Production , Manufacturing , Maintenance"
 CARE Specialist,2 - 5 yrs, Customer service| Healthcare| Customer relationship| Windows| Graphic designing| CAD| Illustrator| Customer satisfaction| Application software,Voice,Ahmedabad,"ITES , BPO , KPO , LPO , Customer Service , Operations","Printing, Packaging",Associate/Senior Associate -(NonTechnical),72.5797068,23.0216238,1678," Customer service| Healthcare| Customer relationship| Windows| Graphic designing| CAD| Illustrator| Customer satisfaction| Application software Associate/Senior Associate -(NonTechnical) Printing, Packaging ITES , BPO , KPO , LPO , Customer Service , Operations"
 Opening For Fresher,0 - 1 yrs, BPO| any graduate| Voice Process| Voice Support,Voice,Chennai,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),80.270186,13.0836939,6591," BPO| any graduate| Voice Process| Voice Support Associate/Senior Associate -(NonTechnical) BPO, Call Centre, ITeS ITES , BPO , KPO , LPO , Customer Service , Operations"
 Technical Support Associate / Technical Sales Associate-Inbound Voice ,0 - 3 yrs, Outbound| Antivirus| Comp| Technical support| Technical Support Associate| technical sales associate| Sales| Technical Associate| Voice support| Inbound calls,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),88.35769124,22.5414185,5972," Outbound| Antivirus| Comp| Technical support| Technical Support Associate| technical sales associate| Sales| Technical Associate| Voice support| Inbound calls Associate/Senior Associate -(Technical) IT-Software, Software Services ITES , BPO , KPO , LPO , Customer Service , Operations"
 Head of Maintenance,12 - 18 yrs, Equipment Maintenance| Hydraulics| Inventory Management| Management Skills| Maintenance Head| Electricals,Senior Management,"Mumbai,Pune","Production , Manufacturing , Maintenance","Automobile, Auto Anciliary, Auto Components",Head/VP/GM-Production/Manufacturing/Maintenance,73.85682537,18.52930005,6176," Equipment Maintenance| Hydraulics| Inventory Management| Management Skills| Maintenance Head| Electricals Head/VP/GM-Production/Manufacturing/Maintenance Automobile, Auto Anciliary, Auto Components Production , Manufacturing , Maintenance"
" Tcs Hiring For Support Analyst - Bigdata(apache Hadoop,aws Certified)",2 - 6 yrs, hive| apache| itil process| hadoop| big data| aws| core java,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,80.270186,13.0836939,4642," hive| apache| itil process| hadoop| big data| aws| core java Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Job Opening For Corporate Sales (insurance Broking) Mumbai/ Bangalore,3 - 8 yrs, motor insurance| insurance sales| insurance broking| general insurance,Corporate Sales,"Mumbai,Bengaluru","Sales , Retail , Business Development",Insurance,Sales/Business Development Manager,77.5718472,13.0002869,2977," motor insurance| insurance sales| insurance broking| general insurance Sales/Business Development Manager Insurance Sales , Retail , Business Development"
Spring Boot, 3 - 8 Years,SQL|Hibernate|Multithreading|OOAD|Eclipse|Business process|Outsourcing|Version control|Memory management|Control system,Programming & Design, Bengaluru,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Team Lead/Technical Lead,77.590082,12.9767936,5170,"SQL|Hibernate|Multithreading|OOAD|Eclipse|Business process|Outsourcing|Version control|Memory management|Control system Team Lead/Technical Lead IT-Software / Software Services IT Software - Application Programming , Maintenance"
 Sr. Engineer Design (Mechanical),2 - 6 yrs, CATIA| AutoCAD| Pressure vessels| Mechanical| Primavera| PSCAD,Engineering Design,Pune,"Engineering Design , R&D","Strategy, Management Consulting Firms",Senior Design Engineer,73.8544541,18.521428,2998," CATIA| AutoCAD| Pressure vessels| Mechanical| Primavera| PSCAD Senior Design Engineer Strategy, Management Consulting Firms Engineering Design , R&D"
 Senior Manager Cost & Program Management,6 - 9 yrs, Team Management| Project Execution| Program Management| Customer Experience| Data Analytics| Supply Chain| Operations Planning,Purchase/Material Management,Bengaluru,Purchase / Logistics / Supply Chain,"Internet, Ecommerce",Purchase/Vendor Development Manager,77.590082,12.9767936,6415," Team Management| Project Execution| Program Management| Customer Experience| Data Analytics| Supply Chain| Operations Planning Purchase/Vendor Development Manager Internet, Ecommerce Purchase / Logistics / Supply Chain"
 Manager Sales Commercial Segment,4 - 9 yrs, business development management| Sales Management,Retail Sales,"Delhi NCR,Chandigarh,Mohali","Sales , Retail , Business Development","Real Estate, Property",Sales/Business Development Manager,,,2264," business development management| Sales Management Sales/Business Development Manager Real Estate, Property Sales , Retail , Business Development"
 Outbound Sales Executive,1 - 5 yrs, Outbound Sales| tele sales| Sales Executive Activities,,Pune,Other,Other,Other,73.8544541,18.521428,6063, Outbound Sales| tele sales| Sales Executive Activities Other Other Other
 US Tech Process,0 - 1 yrs, Technical support| Outbound| Comp| Technical| Domestic BPO| US shift| process| Inbound calls| Bonus,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),88.35769124,22.5414185,4291," Technical support| Outbound| Comp| Technical| Domestic BPO| US shift| process| Inbound calls| Bonus Associate/Senior Associate -(Technical) IT-Software, Software Services ITES , BPO , KPO , LPO , Customer Service , Operations"
" Community Manager,",0 - 1 yrs, Operations| Inventory Management| Vendor Management| Bhm| Hospitality| Front Office| Guest Relations| Hospitality Management| hotel management,Front Office/Customer Care,Bengaluru,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager,77.590082,12.9767936,5975," Operations| Inventory Management| Vendor Management| Bhm| Hospitality| Front Office| Guest Relations| Hospitality Management| hotel management Front Office/Guest Relations Executive/Manager Travel , Hotels , Restaurants , Airlines , Railways Hotels , Restaurants"
 Software Engineer- Mobile Applications - Android,3 - 8 yrs, financial s| windows| android| mobile development,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,1915," financial s| windows| android| mobile development Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Hardware Board Design Engineer,3 - 8 yrs, Hardware Board Design| Mixed Signal| Design Engineering,Programming & Design,Bengaluru,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer,77.590082,12.9767936,5066," Hardware Board Design| Mixed Signal| Design Engineering Software Developer IT-Software, Software Services IT Software - Embedded , EDA , VLSI , ASIC , Chip Design"
 Corporate Head - Operations,5 - 10 yrs, environment| functional| operations| business| verbal communication| coaching| analytical skills,Senior Management,Mumbai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Security, Law Enforcement",Head/VP/GM-Operations,72.8773928,19.0759899,5426," environment| functional| operations| business| verbal communication| coaching| analytical skills Head/VP/GM-Operations Security, Law Enforcement ITES , BPO , KPO , LPO , Customer Service , Operations"
 HR Recruitment Executive,1 - 3 yrs, Screening| Linkedin| IT Recruitment| hr recruitment| Database| recruiter| Sourcing| Interviewing| Recruitment,HR/ Recruitment / IR,Noida,"HR , Recruitment , Administration , IR","BPO, Call Centre, ITeS",Recruitment Executive,77.3271074,28.5707841,5525," Screening| Linkedin| IT Recruitment| hr recruitment| Database| recruiter| Sourcing| Interviewing| Recruitment Recruitment Executive BPO, Call Centre, ITeS HR , Recruitment , Administration , IR"
 Software Engineer Android,2 - 6 yrs, java| linux| server| development| eclipse ide| c| technical| mobile| eclipse| objective c| usability| ui| design| debugging| backend| developer| programming| applications,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,73.8544541,18.521428,4995," java| linux| server| development| eclipse ide| c| technical| mobile| eclipse| objective c| usability| ui| design| debugging| backend| developer| programming| applications Software Developer IT-Software, Software Services IT Software - Application Programming , Maintenance"
 Sales Coordinator,0 - 2 yrs, Retail Sales| Sales Executive Activities| Revenue Generation| Inhouse Sales,Retail Sales,Ahmedabad,"Sales , Retail , Business Development","Retail, Wholesale",Counter Sales,72.5797068,23.0216238,2453," Retail Sales| Sales Executive Activities| Revenue Generation| Inhouse Sales Counter Sales Retail, Wholesale Sales , Retail , Business Development"
 Ecommerce Executive,0 - 5 yrs, BPO| Customer Support| international bpo| Voice Process| International Voice| International Voice Process,Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),77.00270015,28.42826235,2912," BPO| Customer Support| international bpo| Voice Process| International Voice| International Voice Process Associate/Senior Associate -(NonTechnical) BPO, Call Centre, ITeS ITES , BPO , KPO , LPO , Customer Service , Operations"
